time,dy,piobs,robs,shadow,cpi_core,Def
1983.2Q,0.750916349,0.236913858,1.547733333,1.547733333,0.477151661,0.276245905
1983.3Q,1.08636641,0.359476243,1.614691667,1.614691667,0.376841725,0.141323158
1983.4Q,0.618295952,0.806680453,1.570916667,1.570916667,0.401890639,0.299404776
1984.1Q,0.892317062,0.453189982,1.545441667,1.545441667,0.472827333,0.279644974
1984.2Q,1.340616478,0.542497505,1.461075,1.461075,0.535769579,0.354615875
1984.3Q,0.799874272,0.461946753,1.538191667,1.538191667,0.56444593,0.529858093
1984.4Q,-0.116778414,0.862183134,1.555275,1.555275,0.567222948,0.535352363
1985.1Q,2.240160821,0.43625219,1.562183333,1.562183333,0.607317314,0.44102577
1985.2Q,1.139326208,0.334040875,1.517141667,1.517141667,0.52452811,0.269399159
1985.3Q,1.785625855,0.38210144,1.596791667,1.596791667,0.504875226,0.219781635
1985.4Q,1.20992676,0.205943033,1.860083333,1.860083333,0.349259975,0.079323176
1986.1Q,0.089991475,0.486962271,1.568858333,1.568858333,0.35931027,0.298754234
1986.2Q,-0.588859715,0.044389793,1.157325,1.157325,0.262863856,0.53024257
1986.3Q,0.477046552,-0.194976118,1.172116667,1.172116667,0.131678258,0.567898946
1986.4Q,0.783699001,-0.029932426,1.063025,1.063025,0.056179799,0.418857965
1987.1Q,-0.536014502,0.079288447,1.04995,1.04995,-0.037579864,0.161464501
1987.2Q,1.811193434,0.174559785,0.859791667,0.859791667,0.018670651,-0.078822976
1987.3Q,1.645220781,0.279084742,0.843691667,0.843691667,0.121654741,-0.134048579
1987.4Q,2.278237646,0.027045363,0.915358333,0.915358333,0.139899638,-0.078003183
1988.1Q,2.055825878,0.051670268,0.9215,0.9215,0.131283122,0.026809654
1988.2Q,-0.104349923,-0.017783615,0.879391667,0.879391667,0.093144668,0.052576255
1988.3Q,1.703283728,0.243943242,0.99415,0.99415,0.083877059,0.053705713
1988.4Q,0.857938074,0.306229821,1.039741667,1.039741667,0.139121116,0.181630275
1989.1Q,2.59625585,0.394089481,1.043940833,1.043940833,0.241997422,0.293024132
1989.2Q,-1.531275287,0.492262851,1.186090833,1.253733325,0.660588892,0.571156721
1989.3Q,1.421182654,0.445285173,1.336365,1.263008325,0.72442259,0.635627459
1989.4Q,2.78545535,0.36655186,1.550700833,1.444216675,0.738161879,0.68846778
1990.1Q,-0.771861511,0.630131153,1.670053333,1.755441675,0.793138533,0.653461144
1990.2Q,2.816235483,0.615754558,1.815500833,1.731808325,0.51973198,0.558398849
1990.3Q,1.661174017,0.705896681,1.902565833,2.019583325,0.563026477,0.466334765
1990.4Q,-0.405801963,1.05044093,2.0097775,1.859083325,0.751869863,0.596449761
1991.1Q,0.848299299,0.743629224,2.037706667,2.077225,0.777447807,0.636814869
1991.2Q,0.962245165,0.438720889,2.025583333,2.018733325,0.742672121,0.6931137
1991.3Q,-0.09600251,0.639549856,1.83286,1.814858325,0.731504641,0.633586875
1991.4Q,0.492426287,0.49860774,1.62919,1.544741675,0.577114344,0.58255063
1992.1Q,0.279308835,0.597801466,1.40518,1.305758325,0.542096614,0.498024437
1992.2Q,-0.050071386,0.784156983,1.18869,1.248791675,0.637464419,0.531420976
1992.3Q,0.311825728,0.31892619,1.073071667,0.9609,0.551711407,0.372585138
1992.4Q,-0.748028124,0.359526285,0.9928725,0.944808325,0.505748873,0.238779275
1993.1Q,1.002334179,0.245806697,0.868153333,0.815408325,0.422022175,0.196464665
1993.2Q,-0.756783842,0.31923243,0.799955,0.818558325,0.316882161,0
1993.3Q,-0.55974646,0.274874287,0.770820833,0.710583325,0.300404149,0.098425324
1993.4Q,0.510575503,0.087113611,0.620423333,0.53105,0.249088743,0.094876774
1994.1Q,0.920724089,0.202811187,0.568448333,0.563325,0.224964024,0.122010979
1994.2Q,-1.046923013,0.445616588,0.52733,0.535358325,0.222736996,0.119218156
1994.3Q,1.872593462,-0.060468531,0.533445,0.531491675,0.165344518,0
1994.4Q,-1.132611719,-0.085002135,0.566486667,0.548083325,0.09894472,-0.071123803
1995.1Q,0.647841371,0.096277179,0.554675833,0.488883325,0.091074782,-0.114103347
1995.2Q,1.45804442,-0.157557918,0.342916667,0.319316675,-0.032873115,-0.267859705
1995.3Q,0.695063176,0.040322544,0.2,0.1376,-0.024732071,-0.184673047
1995.4Q,-0.051764626,0.074608032,0.115833333,0.067775,0.041111669,-0.155763744
1996.1Q,0.924575652,-0.043339433,0.115833333,0.101733325,-0.016534392,-0.206707654
1996.2Q,1.073503893,0.102156021,0.119166667,0.098333325,0.032873115,-0.089928155
1996.3Q,0.013956195,0.097848945,0.115833333,0.097375,0.065897896,-0.116117255
1996.4Q,1.392878339,0.133405634,0.120833333,0.071983325,0.073831063,-0.179212237
