time,Y*-Y*(-4),pi (= p-p(-1)),call rate,shadow rate
1983:02:00,0.626534116,0.32785518,1.5477325,1.5477325
1983:03:00,1.026907276,0.264070447,1.6146925,1.6146925
1983:04:00,0.44609964,0.716041688,1.5709175,1.5709175
1984:01:00,0.927588617,0.592537272,1.5454425,1.5454425
1984:02:00,1.542720753,0.593175032,1.461075,1.461075
1984:03:00,0.444256222,0.402947636,1.5381925,1.5381925
1984:04:00,0.104580147,0.839419181,1.555275,1.555275
1985:01:00,0.938347486,0.387283706,1.5621825,1.5621825
1985:02:00,1.624133949,0.37133696,1.5171425,1.5171425
1985:03:00,1.244655402,0.397465848,1.5967925,1.5967925
1985:04:00,1.281627961,0.186704773,1.8600825,1.8600825
1986:01:00,-0.438039887,0.537257047,1.5688575,1.5688575
1986:02:00,0.200331059,0.030764244,1.157325,1.157325
1986:03:00,0.234075396,-0.197643769,1.1721175,1.1721175
1986:04:00,0.952557221,-0.078938764,1.063025,1.063025
1987:01:00,-0.208742252,0.111916559,1.04995,1.04995
1987:02:00,1.512399529,0.149425458,0.8597925,0.8597925
1987:03:00,1.491458576,0.262420349,0.8436925,0.8436925
1987:04:00,2.332021238,0.095079579,0.9153575,0.9153575
1988:01:00,1.304819073,0.067638251,0.9215,0.9215
1988:02:00,0.201690851,-0.094371784,0.8793925,0.8793925
1988:03:00,1.577323601,0.265992364,0.99415,0.99415
1988:04:00,0.790652252,0.357270901,1.0397425,1.0397425
1989:01:00,1.838974221,0.399233679,1.04394,1.04394
1989:02:00,-1.421016993,0.180291294,1.18609,1.18609
1989:03:00,1.142514796,0.39817299,1.336365,1.336365
1989:04:00,2.553819971,0.453702491,1.5507,1.5507
1990:01:00,-0.95194307,0.632403449,1.6700525,1.6700525
1990:02:00,2.291769422,0.604341463,1.8155,1.8155
1990:03:00,1.658606607,0.636305689,1.902565,1.902565
1990:04:00,-0.386976687,1.085939937,2.0097775,2.0097775
1991:01:00,0.742818128,0.752902404,2.0377075,2.0377075
1991:02:00,0.55464342,0.423923253,2.0255825,2.0255825
1991:03:00,-0.317379915,0.659164292,1.83286,1.83286
1991:04:00,0.540955204,0.505949544,1.62919,1.62919
1992:01:00,-0.186251936,0.554295271,1.40518,1.40518
1992:02:00,-0.168049586,0.801807749,1.18869,1.18869
1992:03:00,0.08297779,0.342802739,1.0730725,1.0730725
1992:04:00,-0.890247361,0.387553239,0.9928725,0.9928725
1993:01:00,0.29540661,0.252610114,0.8681525,0.8681525
1993:02:00,-1.089042056,0.254610072,0.799955,0.799955
1993:03:00,-0.739868775,0.236430884,0.77082,0.77082
1993:04:00,0.165867648,0.182025795,0.6204225,0.6204225
1994:01:00,0.875249699,0.155079353,0.5684475,0.5684475
1994:02:00,-0.699664237,0.459775626,0.52733,0.52733
1994:03:00,0.948705179,-0.09562741,0.533445,0.533445
1994:04:00,-0.584993728,-7.71E-03,0.5664875,0.5664875
1995:01:00,0.958002375,0.052605248,0.554675,0.52
1995:02:00,0.785966717,-0.239749562,0.3429175,0.268333333
1995:03:00,1.053222112,0.082880279,0.2,0.1225
1995:04:00,0.03076707,0.0990144,0.1158325,-0.04
1996:01:00,0.758479918,0.047554236,0.1158325,0.075
1996:02:00,1.075615249,5.53E-03,0.1191675,0.111666667
1996:03:00,-0.023522739,0.039580401,0.1158325,0.1
1996:04:00,0.965449381,0.20243985,0.1208325,5.83E-03
1997:01:00,-0.106023367,0.152538503,0.1241675,-0.013333333
1997:02:00,-0.926673176,0.180291294,0.1241675,0.075833333
1997:03:00,0.078044054,0.201257947,0.1225,0.046666667
1997:04:00,-0.133793138,0.200666551,0.1133325,0.01
1998:01:00,-1.402874397,-0.147113339,0.1083325,0.078333333
1998:02:00,-0.5881928,-0.229737574,0.1091675,0.056666667
1998:03:00,-6.29E-03,-0.039276239,0.0966675,0.041666667
1998:04:00,0.706621847,0.114278974,0.0575,-0.014166667
1999:01:00,-1.497297061,0.051672164,0.0375,-0.096666667
1999:02:00,0.305874992,-0.10519514,0.0075,-0.259166667
1999:03:00,0.372236316,-0.080932265,0.0075,-0.19
1999:04:00,-0.07638429,0.039304208,0.0058325,-0.2125
