time,Y*-Y*(-4),pi (= p-p(-1)),i
1983.2Q,0.750916349,0.236913858,1.547733333
1983.3Q,1.08636641,0.359476243,1.614691667
1983.4Q,0.618295952,0.806680453,1.570916667
1984.1Q,0.892317062,0.453189982,1.545441667
1984.2Q,1.340616478,0.542497505,1.461075
1984.3Q,0.799874272,0.461946753,1.538191667
1984.4Q,-0.116778414,0.862183134,1.555275
1985.1Q,2.240160821,0.43625219,1.562183333
1985.2Q,1.139326208,0.334040875,1.517141667
1985.3Q,1.785625855,0.38210144,1.596791667
1985.4Q,1.20992676,0.205943033,1.860083333
1986.1Q,0.089991475,0.486962271,1.568858333
1986.2Q,-0.588859715,0.044389793,1.157325
1986.3Q,0.477046552,-0.194976118,1.172116667
1986.4Q,0.783699001,-0.029932426,1.063025
1987.1Q,-0.536014502,0.079288447,1.04995
1987.2Q,1.811193434,0.174559785,0.859791667
1987.3Q,1.645220781,0.279084742,0.843691667
1987.4Q,2.278237646,0.027045363,0.915358333
1988.1Q,2.055825878,0.051670268,0.9215
1988.2Q,-0.104349923,-0.017783615,0.879391667
1988.3Q,1.703283728,0.243943242,0.99415
1988.4Q,0.857938074,0.306229821,1.039741667
1989.1Q,2.59625585,0.394089481,1.043940833
1989.2Q,-1.531275287,0.492262851,1.186090833
1989.3Q,1.421182654,0.445285173,1.336365
1989.4Q,2.78545535,0.36655186,1.550700833
1990.1Q,-0.771861511,0.630131153,1.670053333
1990.2Q,2.816235483,0.615754558,1.815500833
1990.3Q,1.661174017,0.705896681,1.902565833
1990.4Q,-0.405801963,1.05044093,2.0097775
1991.1Q,0.848299299,0.743629224,2.037706667
1991.2Q,0.962245165,0.438720889,2.025583333
1991.3Q,-0.09600251,0.639549856,1.83286
1991.4Q,0.492426287,0.49860774,1.62919
1992.1Q,0.279308835,0.597801466,1.40518
1992.2Q,-0.050071386,0.784156983,1.18869
1992.3Q,0.311825728,0.31892619,1.073071667
1992.4Q,-0.748028124,0.359526285,0.9928725
1993.1Q,1.002334179,0.245806697,0.868153333
1993.2Q,-0.756783842,0.31923243,0.799955
1993.3Q,-0.55974646,0.274874287,0.770820833
1993.4Q,0.510575503,0.087113611,0.620423333
1994.1Q,0.920724089,0.202811187,0.568448333
1994.2Q,-1.046923013,0.445616588,0.52733
