year,dy_obs,pi_obs,r_obs,shadow rate
83,1.001164874,0.752871625,2.1625,2.1625
83.25,1.950656933,0.739367594,2.2,2.2
83.5,1.686879027,1.057982871,2.365,2.365
83.75,1.778621385,0.755262737,2.3575,2.3575
84,1.634620379,1.006522936,2.4225,2.4225
84.25,1.41817288,0.852302262,2.64,2.64
84.5,0.667740595,0.88462697,2.8475,2.8475
84.75,0.525727445,0.746202161,2.3175,2.3175
85,0.678391564,0.983270159,2.12,2.12
85.25,0.593373245,0.64160695,1.98,1.98
85.5,1.234919958,0.600987572,1.975,1.975
85.75,0.458763898,0.557439415,2.025,2.025
86,0.637289196,0.496521751,1.9575,1.9575
86.25,0.154833105,0.37888401,1.73,1.73
86.5,0.655662328,0.407947443,1.5525,1.5525
86.75,0.240254957,0.543732336,1.5675,1.5675
87,0.430806062,0.633003536,1.555,1.555
87.25,0.755421745,0.690650736,1.6625,1.6625
87.5,0.545659971,0.754072036,1.71,1.71
87.75,1.39057519,0.793503041,1.73,1.73
88,0.230706546,0.780377227,1.665,1.665
88.25,1.026591641,0.968688047,1.79,1.79
88.5,0.310641093,1.188555235,1.995,1.995
88.75,1.05875854,0.861380846,2.1175,2.1175
89,0.755105803,1.03584864,2.36,2.36
89.25,0.512855058,1.059549464,2.4325,2.4325
89.5,0.495635307,0.727761407,2.27,2.27
89.75,-0.042716333,0.709618347,2.1525,2.1525
90,0.780530408,1.073401421,2.0625,2.0625
90.25,0.058596035,1.114019016,2.06,2.06
90.5,-0.235300363,0.853619707,2.04,2.04
90.75,-1.22209877,0.740986282,1.935,1.935
91,-0.767982949,0.975421745,1.6075,1.6075
91.25,0.479934619,0.731471707,1.465,1.465
91.5,0.205437196,0.777611257,1.41,1.41
91.75,0.042696109,0.592802152,1.205,1.205
92,0.956389644,0.370785002,1.005,1.005
92.25,0.843149761,0.599050186,0.9425,0.9425
92.5,0.743381609,0.487341984,0.815,0.815
92.75,0.793150252,0.685379345,0.76,0.76
93,-0.082212887,0.559288037,0.76,0.76
93.25,0.327664099,0.592564055,0.75,0.75
93.5,0.22064836,0.593413277,0.765,0.765
93.75,1.094583932,0.543883389,0.7475,0.7475
94,0.707259493,0.476526285,0.8025,0.8025
94.25,1.08801138,0.481391678,0.985,0.985
94.5,0.324837388,0.572644033,1.1225,1.1225
94.75,0.884317693,0.541202562,1.2925,1.2925
95,0.113388077,0.539690988,1.4525,1.534166667
95.25,0.059958034,0.479617226,1.505,1.438333333
95.5,0.609832531,0.491210016,1.45,1.38
95.75,0.440546278,0.480520495,1.43,1.331666667
96,0.51305602,0.480972241,1.34,1.25
96.25,1.417380037,0.412971439,1.31,1.364166667
96.5,0.654140141,0.326697166,1.3275,1.3825
